economy,country_code,region,income_group,lending_category
Afghanistan,AFG,South Asia,Low income,IDA
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD
Algeria,DZA,Middle East & North Africa,Upper middle income,IBRD
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD
Bangladesh,BGD,South Asia,Lower middle income,IDA
Barbados,BRB,Latin America & Caribbean,High income,IBRD
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD
Belize,BLZ,Latin America & Caribbean,Upper middle income,Blend
Benin,BEN,Sub-Saharan Africa,Lower middle income,IDA
Bhutan,BTN,South Asia,Lower middle income,IDA
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD
Bulgaria,BGR,Europe & Central Asia,High income,IBRD
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA
Burundi,BDI,Sub-Saharan Africa,Low income,IDA
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA
Chad,TCD,Sub-Saharan Africa,Low income,IDA
Chile,CHL,Latin America & Caribbean,High income,IBRD
China,CHN,East Asia & Pacific,Upper middle income,IBRD
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,IDA
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Blend
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD
Côte d’Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA
Croatia,HRV,Europe & Central Asia,High income,IBRD
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,IBRD
El Salvador,SLV,Latin America & Caribbean,Upper middle income,IBRD
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,Blend
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD
"Gambia, The",GMB,Sub-Saharan Africa,Low income,IDA
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD
Guinea,GIN,Sub-Saharan Africa,Lower middle income,IDA
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,IDA
Guyana,GUY,Latin America & Caribbean,High income,IDA
Haiti,HTI,Latin America & Caribbean,Lower middle income,IDA
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA
India,IND,South Asia,Lower middle income,IBRD
Indonesia,IDN,East Asia & Pacific,Upper middle income,IBRD
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,IBRD
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD
Jordan,JOR,Middle East & North Africa,Lower middle income,IBRD
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Blend
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA
Kosovo,XKX,Europe & Central Asia,Upper middle income,IDA
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,IDA
Lao PDR,LAO,East Asia & Pacific,Lower middle income,IDA
Lebanon,LBN,Middle East & North Africa,Lower middle income,IBRD
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA
Liberia,LBR,Sub-Saharan Africa,Low income,IDA
Libya,LBY,Middle East & North Africa,Upper middle income,IBRD
Madagascar,MDG,Sub-Saharan Africa,Low income,IDA
Malawi,MWI,Sub-Saharan Africa,Low income,IDA
Malaysia,MYS,East Asia & Pacific,Upper middle income,IBRD
Maldives,MDV,South Asia,Upper middle income,IDA
Mali,MLI,Sub-Saharan Africa,Low income,IDA
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,IDA
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,IDA
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,IBRD
Mexico,MEX,Latin America & Caribbean,Upper middle income,IBRD
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,IDA
Moldova,MDA,Europe & Central Asia,Upper middle income,IBRD
Mongolia,MNG,East Asia & Pacific,Upper middle income,IBRD
Montenegro,MNE,Europe & Central Asia,Upper middle income,IBRD
Morocco,MAR,Middle East & North Africa,Lower middle income,IBRD
Mozambique,MOZ,Sub-Saharan Africa,Low income,IDA
Myanmar,MMR,East Asia & Pacific,Lower middle income,IDA
Namibia,NAM,Sub-Saharan Africa,Upper middle income,IBRD
Nauru,NRU,East Asia & Pacific,High income,IBRD
Nepal,NPL,South Asia,Lower middle income,IDA
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,IDA
Niger,NER,Sub-Saharan Africa,Low income,IDA
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,Blend
North Macedonia,MKD,Europe & Central Asia,Upper middle income,IBRD
Pakistan,PAK,South Asia,Lower middle income,Blend
Palau,PLW,East Asia & Pacific,High income,IBRD
Panama,PAN,Latin America & Caribbean,High income,IBRD
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,Blend
Paraguay,PRY,Latin America & Caribbean,Upper middle income,IBRD
Peru,PER,Latin America & Caribbean,Upper middle income,IBRD
Philippines,PHL,East Asia & Pacific,Lower middle income,IBRD
Poland,POL,Europe & Central Asia,High income,IBRD
Romania,ROU,Europe & Central Asia,High income,IBRD
Russian Federation,RUS,Europe & Central Asia,High income,IBRD
Rwanda,RWA,Sub-Saharan Africa,Low income,IDA
Samoa,WSM,East Asia & Pacific,Lower middle income,IDA
São Tomé and Príncipe,STP,Sub-Saharan Africa,Lower middle income,IDA
Senegal,SEN,Sub-Saharan Africa,Lower middle income,IDA
Serbia,SRB,Europe & Central Asia,Upper middle income,IBRD
Seychelles,SYC,Sub-Saharan Africa,High income,IBRD
Sierra Leone,SLE,Sub-Saharan Africa,Low income,IDA
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,IDA
Somalia,SOM,Sub-Saharan Africa,Low income,IDA
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,IBRD
South Sudan,SSD,Sub-Saharan Africa,Low income,IDA
Sri Lanka,LKA,South Asia,Lower middle income,IDA
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,IBRD
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,Blend
Sudan,SDN,Sub-Saharan Africa,Low income,IDA
Suriname,SUR,Latin America & Caribbean,Upper middle income,Blend
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,IDA
Tajikistan,TJK,Europe & Central Asia,Lower middle income,IDA
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,IDA
Thailand,THA,East Asia & Pacific,Upper middle income,IBRD
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,Blend
Togo,TGO,Sub-Saharan Africa,Low income,IDA
Tonga,TON,East Asia & Pacific,Upper middle income,IDA
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,IBRD
Tunisia,TUN,Middle East & North Africa,Lower middle income,IBRD
Türkiye,TUR,Europe & Central Asia,Upper middle income,IBRD
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,IBRD
Tuvalu,TUV,East Asia & Pacific,Upper middle income,IDA
Uganda,UGA,Sub-Saharan Africa,Low income,IDA
Ukraine,UKR,Europe & Central Asia,Upper middle income,IBRD
Uruguay,URY,Latin America & Caribbean,High income,IBRD
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Blend
Vanuatu,VUT,East Asia & Pacific,Lower middle income,IDA
"Venezuela, RB",VEN,Latin America & Caribbean,,IBRD
Vietnam,VNM,East Asia & Pacific,Lower middle income,IBRD
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,IDA
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,IDA
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,Blend
